medianame	source_url	domain	country	bias	factual
North Korea Times	https://www.northkoreatimes.com	www.northkoreatimes.com	Australia	center	mixed
Dutch Daily News	http://www.dutchdailynews.com/	www.dutchdailynews.com	None	leftcenter	high
The Elkhart Truth	https://www.elkharttruth.com	www.elkharttruth.com	USA	rightcenter	high
Bounding Into Comics	https://boundingintocomics.com	boundingintocomics.com	USA	right	mixed
The Hartford Courant	http://www.courant.com/	www.courant.com	USA	leftcenter	high
Texas Standard	http://www.texasstandard.org/	www.texasstandard.org	None	center	high
Citizen Free Press	https://www.citizenfreepress.com	www.citizenfreepress.com	USA	right	mixed
CBS News	https://www.cbsnews.com	www.cbsnews.com	USA	leftcenter	high
Red River Valley News	http://www.valleynewslive.com/	www.valleynewslive.com	None	rightcenter	high
Red Politics	http://www.redpolitics.us/	www.redpolitics.us	None	extremeright	questionable source
Leicester Mercury	https://www.leicestermercury.co.uk/	www.leicestermercury.co.uk	United Kingdom	rightcenter	high
Liberal Plug	http://liberalplug.com/	liberalplug.com	USA	extremeleft	None
Common Cause	https://www.commoncause.org	www.commoncause.org	None	leftcenter	high
International Press Institute	http://www.freemedia.at/	www.freemedia.at	None	center	very high
Daily Journal (Illinois)	http://www.daily-journal.com	www.daily-journal.com	USA	center	high
Daily Star UK	https://www.dailystar.co.uk	www.dailystar.co.uk	United Kingdom	rightcenter	mixed
Committee to Investigate Russia	https://investigaterussia.org	investigaterussia.org	USA	leftcenter	high
Columbia Daily Herald	https://www.columbiadailyherald.com/	www.columbiadailyherald.com	None	rightcenter	high
Stimson Center	http://stimson.org/	stimson.org	None	center	high
Resistance Report	http://resistancereport.com/	resistancereport.com	None	extremeleft	questionable source
Kurdistan 24	http://www.kurdistan24.net	www.kurdistan24.net	None	leftcenter	mixed
The Ringer	https://www.theringer.com	www.theringer.com	USA	leftcenter	high
Project Veritas	https://www.projectveritas.com	www.projectveritas.com	USA	right	mixed
Council on Foreign Relations	https://www.cfr.org/	www.cfr.org	USA	center	high
Insider	https://www.insider.com/	www.insider.com	USA	leftcenter	high
Charity Navigator	https://www.charitynavigator.org/	www.charitynavigator.org	USA	center	very high
UAWire	https://uawire.org/	uawire.org	None	leftcenter	mixed
The Fucking News	None	None	None	left	high
Political Flare	https://www.politicalflare.com	www.politicalflare.com	USA	extremeleft	questionable source
Natural Resource Governance Institute	https://resourcegovernance.org/	resourcegovernance.org	USA	leftcenter	high
Freedom From Religion Foundation (FFRF)	https://ffrf.org/	ffrf.org	USA	left	mixed
London Broadcasting Company (LBC)	https://www.lbc.co.uk/	www.lbc.co.uk	United Kingdom	rightcenter	mixed
Underground Journalist	http://undergroundjournalist.org/	undergroundjournalist.org	None	extremeleft	questionable source
Palm Beach Daily News	https://www.palmbeachdailynews.com/	www.palmbeachdailynews.com	USA	leftcenter	high
Longview News-Journal	https://www.news-journal.com	www.news-journal.com	USA	center	high
Mashable	https://mashable.com	mashable.com	USA	left	mostly factual
Deep South Voice	https://deepsouthvoice.com/	deepsouthvoice.com	USA	left	mixed
Dallas Morning News	http://www.dallasnews.com/	www.dallasnews.com	USA	rightcenter	high
Political Tribune (DC Tribune)	https://politicaltribune.org/	politicaltribune.org	USA	left	mixed
Police Times	http://timespolice.com	timespolice.com	None	extremeright	questionable source
TheImproper Magazine	https://www.theimproper.com	www.theimproper.com	USA	left	high
DiscoveryTheWord.com	http://discoverytheword.com	discoverytheword.com	Unknown	leftcenter	mixed
The Horn News	https://thehornnews.com/	thehornnews.com	USA	extremeright	low
Raw Conservative Opinions	https://rawconservativeopinions.com/	rawconservativeopinions.com	USA	right	mixed
PoliticusUSA	https://www.politicususa.com	www.politicususa.com	USA	left	mixed
Beijing Review	http://www.bjreview.com/	www.bjreview.com	None	leftcenter	high
News Blaze	http://newsblaze.com/	newsblaze.com	None	extremeright	questionable source
Red Blue Divide	https://redbluedivide.com/	redbluedivide.com	USA	right	mixed
Inc. Magazine	https://www.inc.com/	www.inc.com	USA	center	high
Countable	https://www.countable.us	www.countable.us	USA	center	high
Honolulu Star-Advertiser	https://www.staradvertiser.com/	www.staradvertiser.com	USA	leftcenter	high
Green Left Weekly	https://www.greenleft.org.au	www.greenleft.org.au	Australia	left	mixed
Caribbean Life News	https://www.caribbeanlifenews.com/	www.caribbeanlifenews.com	USA	leftcenter	high
Coronavirus.gov	https://www.coronavirus.gov/	www.coronavirus.gov	USA	center	high
Napa Valley Register	http://napavalleyregister.com	napavalleyregister.com	USA	center	high
3CCorp.net	https://www.3ccorp.net/	www.3ccorp.net	USA	extremeright	low
Defend Europa	https://www.defendevropa.org	www.defendevropa.org	None	extremeright	low
Joint Center for Political and Economic Studies	https://jointcenter.org/	jointcenter.org	USA	leftcenter	high
Newsela	https://newsela.com/	newsela.com	USA	center	high
Health Magazine	None	None	USA	leftcenter	mixed
BlingNews.com	http://www.blingnews.com	www.blingnews.com	USA	extremeright	low
Democrat and Chronicle	https://www.democratandchronicle.com/	www.democratandchronicle.com	USA	leftcenter	high
USA Politics Today	http://www.usapoliticstoday.com/	www.usapoliticstoday.com	None	right	mixed
Poynter Institute	https://www.poynter.org	www.poynter.org	USA	center	high
SpeakGov.com	https://www.speakgov.com/	www.speakgov.com	None	extremeright	questionable source
Kotaku	https://kotaku.com	kotaku.com	USA	leftcenter	high
Vessel News	http://vesselnews.io/	vesselnews.io	None	right	mixed
Crisis Magazine	https://www.crisismagazine.com/	www.crisismagazine.com	None	right	mixed
High Point Enterprise	ttps://hpenews.com/	hpenews.com	USA	rightcenter	high
PM Nightly News	http://pmnightlynews.com/	pmnightlynews.com	None	extremeright	questionable source
Global Post	http://www.pri.org/programs/globalpost	www.pri.org	None	leftcenter	high
Times of Israel	http://www.timesofisrael.com/	www.timesofisrael.com	Israel	leftcenter	high
Daily Signal	https://www.dailysignal.com/	www.dailysignal.com	USA	right	mostly factual
The Guardian	https://www.theguardian.com	www.theguardian.com	United Kingdom	leftcenter	mostly factual
KUOW NPR	https://kuow.org/	kuow.org	USA	leftcenter	high
Drudge Retort	http://www.drudge.com/	www.drudge.com	None	left	mixed
Restore American Glory	http://www.restoreamericanglory.com/	www.restoreamericanglory.com	None	right	high
MoonBattery	https://moonbattery.com	moonbattery.com	USA	extremeright	None
Strategic Culture Foundation	https://www.strategic-culture.org	www.strategic-culture.org	Russia	extremeright	very low
The Century Foundation	https://tcf.org/	tcf.org	USA	leftcenter	high
Geology In	http://www.geologyin.com/	www.geologyin.com	USA	None	mixed
Western Free Press	http://www.westernfreepress.com/	www.westernfreepress.com	None	right	mixed
Swarajya	https://swarajyamag.com/	swarajyamag.com	India	right	low
Western Journal	https://www.westernjournal.com/	www.westernjournal.com	USA	right	mixed
The Dworkin Report	https://dworkinreport.com	dworkinreport.com	USA	left	mixed
Political Insider	https://thepoliticalinsider.com	thepoliticalinsider.com	USA	extremeright	mixed
Regated News	https://regated.com/	regated.com	None	right	mixed
Vice Media	https://www.vice.com/	www.vice.com	USA	leftcenter	high
Center for American Progress	https://www.americanprogress.org/	www.americanprogress.org	USA	left	mostly factual
The Blacksphere (Kevin Jackson)	http://theblacksphere.net/	theblacksphere.net	None	right	mixed
Arizona Daily Star	https://tucson.com/	tucson.com	USA	leftcenter	high
Center for the National Interest	http://cftni.org/	cftni.org	USA	rightcenter	high
680 News	https://www.680news.com/	www.680news.com	Canada	center	high
Center for Responsive Politics (Open Secrets)	http://www.opensecrets.org/	www.opensecrets.org	USA	center	very high
The Skimm	http://www.theskimm.com/	www.theskimm.com	USA	leftcenter	high
The Daily Liberator	http://www.thedailyliberator.com/	www.thedailyliberator.com	None	right	mixed
Elko Daily Free Press	None	None	USA	center	high
Republic Report	https://www.republicreport.org	www.republicreport.org	USA	left	high
Wichita Eagle	http://www.kansas.com/	www.kansas.com	None	rightcenter	high
Telegram & Gazette	https://www.telegram.com	www.telegram.com	USA	center	high
Recode	https://www.recode.net/	www.recode.net	USA	center	high
AOL	https://www.aol.com/	www.aol.com	None	leftcenter	high
Al DIA	https://aldianews.com	aldianews.com	USA	left	mixed
The Other 98%	https://other98.com	other98.com	USA	left	None
Peninsula Daily News	http://www.peninsuladailynews.com/	www.peninsuladailynews.com	None	rightcenter	high
Tribune Magazine UK	http://www.tribunemagazine.org/	www.tribunemagazine.org	United Kingdom	left	high
Exposing Government	http://www.exposinggovernment.com	www.exposinggovernment.com	None	extremeright	low
Lexington Institute	https://www.lexingtoninstitute.org/	www.lexingtoninstitute.org	USA	rightcenter	high
Newsner	https://en.newsner.com	en.newsner.com	Sweden	None	very low
One Angry Gamer	https://www.oneangrygamer.net/	www.oneangrygamer.net	USA	right	mixed
Worldometers	https://www.worldometers.info/	www.worldometers.info	USA	center	high
#ERROR!	https://972mag.com/	972mag.com	Israel	leftcenter	high
Project on Government Oversight	http://pogo.org/	pogo.org	USA	center	very high
City Pages	http://www.citypages.com/	www.citypages.com	USA	leftcenter	high
Daily Record (Scotland)	http://www.dailyrecord.co.uk/	www.dailyrecord.co.uk	None	left	mixed
Rabble.ca	http://rabble.ca/	rabble.ca	Canada	left	high
News Corpse	http://newscorpse.com/	newscorpse.com	None	left	mixed
EJ Insight (EJI)	http://www.ejinsight.com/	www.ejinsight.com	None	center	high
Ethics & Religious Liberty Commission (ERLC)	http://erlc.com/	erlc.com	None	right	mixed
Global Real News	https://globalrealnews.com	globalrealnews.com	USA	leftcenter	mixed
Daily Dot	http://www.dailydot.com/	www.dailydot.com	USA	left	high
Media Trackers	http://mediatrackers.org	mediatrackers.org	USA	right	mixed
Feministing	http://feministing.com/	feministing.com	USA	left	mixed
Ozy Media	http://www.ozy.com/	www.ozy.com	None	leftcenter	high
Palmer Report	ttps://www.palmerreport.com	www.palmerreport.com	USA	left	mixed
The Progressive Frontier	https://progressivefrontier.com	progressivefrontier.com	USA	left	mixed
US Chronicle	http://www.uschronicle.com/	www.uschronicle.com	None	extremeright	questionable source
Chicago Tribune	https://www.chicagotribune.com/	www.chicagotribune.com	USA	rightcenter	high
Unity News Network	https://unitynewsnetwork.co.uk	unitynewsnetwork.co.uk	United Kingdom	right	mixed
Western Sentinel	http://www.westernsentinel.com/	www.westernsentinel.com	None	extremeright	questionable source
Greensboro News and Record	https://www.greensboro.com/	www.greensboro.com	USA	leftcenter	high
Media Matters	https://www.mediamatters.org	www.mediamatters.org	USA	left	high
The Herald-Dispatch	http://www.herald-dispatch.com	www.herald-dispatch.com	USA	center	high
Informed Comment	https://www.juancole.com	www.juancole.com	None	left	high
San Antonio Express-News	https://www.expressnews.com/	www.expressnews.com	USA	leftcenter	high
ABC11 Eyewitness News	https://abc11.com/	abc11.com	USA	leftcenter	high
WayneDupree.com	https://www.waynedupree.com/	www.waynedupree.com	USA	extremeright	low
SOFREP	https://sofrep.com/	sofrep.com	None	rightcenter	high
Al Jazeera	https://www.aljazeera.com/	www.aljazeera.com	Qatar	leftcenter	mixed
Viral Liberty	http://viralliberty.com/	viralliberty.com	None	extremeright	questionable source
Financial Express	http://www.financialexpress.com/	www.financialexpress.com	None	center	high
NBC News	http://www.nbcnews.com/	www.nbcnews.com	USA	leftcenter	high
C-SPAN	https://www.c-span.org/	www.c-span.org	USA	center	very high
Competitive Enterprise Institute	https://cei.org/	cei.org	USA	right	low
The Liberty Eagle	http://www.thelibertyeagle.com	www.thelibertyeagle.com	USA	extremeright	questionable source
The Daily Telegraph (Australia)	http://www.dailytelegraph.com.au/	www.dailytelegraph.com.au	None	right	mixed
NBCNewYork.com	https://www.nbcnewyork.com	www.nbcnewyork.com	USA	leftcenter	high
The Right Scoop	http://therightscoop.com/	therightscoop.com	Canada	right	mixed
The Daily Progress	http://www.dailyprogress.com	www.dailyprogress.com	USA	center	high
In Homeland Security	https://inhomelandsecurity.com	inhomelandsecurity.com	USA	rightcenter	high
Curve Magazine	http://www.curvemag.com	www.curvemag.com	None	left	high
FDD’s Long War Journal	https://www.longwarjournal.org	www.longwarjournal.org	USA	rightcenter	high
7News	https://7news.com.au/	7news.com.au	Australia	rightcenter	mixed
USA Today	https://www.usatoday.com	www.usatoday.com	USA	leftcenter	high
War on the Rocks	http://warontherocks.com/	warontherocks.com	None	center	high
The Truth Division	http://thetruthdivision.com/	thetruthdivision.com	None	extremeright	questionable source
ERR News (Estonia Public Broadcasting)	http://news.err.ee	news.err.ee	None	center	high
ACHNews	https://achnews.org/	achnews.org	USA	left	mostly factual
India Times	https://www.indiatimes.com/	www.indiatimes.com	India	rightcenter	mixed
Guido Fawkes	https://order-order.com	order-order.com	None	right	mixed
PBS NewsHour	https://www.pbs.org/newshour/	www.pbs.org	USA	leftcenter	very high
Tarbell	https://tarbell.org	tarbell.org	USA	leftcenter	high
Right Side News	https://www.rightsidenews.com/	www.rightsidenews.com	USA	extremeright	questionable source
Jackson Free Press	http://www.jacksonfreepress.com	www.jacksonfreepress.com	USA	leftcenter	high
Texas Monthly	https://www.texasmonthly.com	www.texasmonthly.com	USA	leftcenter	high
Top Right News	http://toprightnews.com	toprightnews.com	None	extremeright	questionable source
Variety Magazine	https://variety.com/	variety.com	USA	leftcenter	high
Traverse City Record-Eagle	https://www.record-eagle.com	www.record-eagle.com	USA	center	high
SourceWatch	http://www.sourcewatch.org/index.php/SourceWatch	www.sourcewatch.org	None	left	high
The Canary (UK)	https://www.thecanary.co/	www.thecanary.co	United Kingdom	left	high
Nation of Change	https://www.nationofchange.org/	www.nationofchange.org	USA	left	mostly factual
Stares at the World	http://www.staresattheworld.com/	www.staresattheworld.com	None	extremeright	questionable source
Vote	http://vote.us.org/	vote.us.org	None	left	mixed
FreedomProject Media	https://www.freedomproject.com/	www.freedomproject.com	USA	extremeright	low
BillMoyers.com	https://billmoyers.com/	billmoyers.com	None	leftcenter	high
Grunge	https://www.grunge.com/	www.grunge.com	USA	None	mixed
Crooked Media	https://crooked.com/	crooked.com	USA	left	mostly factual
Represent.Us	https://represent.us/	represent.us	USA	leftcenter	high
Proud Leader	http://proudleader.com/	proudleader.com	None	extremeright	questionable source
The Santa Fe New Mexican	http://www.santafenewmexican.com	www.santafenewmexican.com	USA	leftcenter	high
Chicks on the Right	https://www.chicksonright.com/	www.chicksonright.com	None	right	mixed
Newsday	https://www.newsday.com/	www.newsday.com	USA	leftcenter	high
The Conservative Buzz	https://conservativebuzz.com	conservativebuzz.com	USA	extremeright	questionable source
TechStartups	https://techstartups.com/	techstartups.com	USA	center	mostly factual
Democracy Chronicles	https://democracychronicles.org	democracychronicles.org	None	left	high
All News Pipeline	http://allnewspipeline.com/	allnewspipeline.com	USA	extremeright	low
WikiLeaks	https://www.wikileaks.org/	www.wikileaks.org	Iceland	leftcenter	mixed
What Matters News	http://whatmattersnews.com/	whatmattersnews.com	None	left	high
Times Headline	http://www.timesheadline.com	www.timesheadline.com	None	leftcenter	mixed
Code Pink	https://www.codepink.org	www.codepink.org	USA	left	mixed
Wikipedia	https://www.wikipedia.org/	www.wikipedia.org	USA	center	mostly factual
First Things Magazine	https://www.firstthings.com	www.firstthings.com	None	right	mixed
Ami Magazine	http://www.amimagazine.org/	www.amimagazine.org	USA	right	mostly factual
The Federalist Papers Project	http://thefederalistpapers.org/	thefederalistpapers.org	USA	extremeright	questionable source
Florida Times-Union	https://www.jacksonville.com/	www.jacksonville.com	USA	rightcenter	high
South China Morning Post	https://www.scmp.com	www.scmp.com	Hong Kong	leftcenter	mixed
iNews	https://inews.co.uk/	inews.co.uk	None	leftcenter	high
Revere Press	http://reverepress.com	reverepress.com	None	left	high
Battlefords News Optimist	https://www.newsoptimist.ca/	www.newsoptimist.ca	Canada	center	high
Independent Voter Network (IVN)	https://ivn.us/	ivn.us	None	center	high
To Inform is to Influence	https://toinformistoinfluence.com/	toinformistoinfluence.com	None	leftcenter	high
Modern Liberals	http://modernliberals.com/	modernliberals.com	USA	left	mixed
Engadget	https://www.engadget.com/	www.engadget.com	None	leftcenter	high
Toronto Sun	https://torontosun.com	torontosun.com	Canada	right	mostly factual
Tax Justice Network	https://www.taxjustice.net/	www.taxjustice.net	None	leftcenter	high
ZDF (Zweites Deutsches Fernsehen)	https://www.zdf.de/	www.zdf.de	None	center	high
Brampton Guardian	https://www.bramptonguardian.com	www.bramptonguardian.com	Canada	leftcenter	high
Learn Liberty	http://www.learnliberty.org/	www.learnliberty.org	None	rightcenter	high
JStor Daily	http://daily.jstor.org/	daily.jstor.org	None	center	very high
Heartland Institute	https://www.heartland.org/	www.heartland.org	USA	right	low
New England Cable News (NECN)	http://www.necn.com/	www.necn.com	None	leftcenter	high
Reading the Pictures	http://www.readingthepictures.org	www.readingthepictures.org	None	left	high
TPL News	http://tplnews.com	tplnews.com	USA	extremeleft	None
Truth Monitor	https://www.truthmonitor.com/	www.truthmonitor.com	None	extremeright	questionable source
Mental Floss	http://mentalfloss.com/	mentalfloss.com	USA	center	high
Walk With Her	http://walkwithher.com/	walkwithher.com	None	extremeleft	questionable source
The Advocate	https://www.advocate.com	www.advocate.com	USA	left	high
Eau Claire Leader-Telegram	https://www.leadertelegram.com/	www.leadertelegram.com	USA	center	high
The Jamestown Foundation	http://www.jamestown.org/	www.jamestown.org	None	rightcenter	high
Daily Torch	http://dailytorch.com/	dailytorch.com	USA	right	mostly factual
True Activist	http://www.trueactivist.com/	www.trueactivist.com	Germany	extremeleft	low
The National Pulse	https://thenationalpulse.com/	thenationalpulse.com	None	extremeright	questionable source
The Post-Standard (Syracuse)	https://www.syracuse.com	www.syracuse.com	USA	center	high
The News (Mexico City)	http://www.thenews.mx/	www.thenews.mx	None	center	high
American Civil Liberties Union (ACLU)	https://www.aclu.org/	www.aclu.org	USA	leftcenter	mixed
The Proud Conservative	http://www.proudcons.com/	www.proudcons.com	None	extremeright	questionable source
Inquisitr	http://www.inquisitr.com/news/	www.inquisitr.com	USA	leftcenter	mixed
The American Cause	http://www.theamericancause.org/	www.theamericancause.org	None	right	mixed
Aftonbladet	https://www.aftonbladet.se	www.aftonbladet.se	Sweden	left	mixed
Independent Australia	https://independentaustralia.net/	independentaustralia.net	Australia	leftcenter	high
Laredo Morning Times	https://www.lmtonline.com	www.lmtonline.com	USA	rightcenter	high
The Irrawaddy	http://www.irrawaddy.com/	www.irrawaddy.com	None	leftcenter	high
Bullshido	https://www.bullshido.net/	www.bullshido.net	USA	center	high
Agerpres	https://www.agerpres.ro/english	www.agerpres.ro	None	center	high
Group of Thirty	https://group30.org/	group30.org	USA	center	high
Santa Barbara Independent	http://www.independent.com/	www.independent.com	None	leftcenter	high
Tax Foundation	http://taxfoundation.org/	taxfoundation.org	USA	rightcenter	high
Las Cruces Sun-News	https://www.lcsun-news.com	www.lcsun-news.com	USA	center	high
Maine Beacon	http://mainebeacon.com/	mainebeacon.com	None	leftcenter	high
The Republican (Masslive.com)	https://www.masslive.com	www.masslive.com	USA	center	high
Red Youth	https://redyouth.org/	redyouth.org	None	left	mixed
The Modesto Bee	https://www.modbee.com/	www.modbee.com	USA	center	high
The Herald Journal (Utah)	https://news.hjnews.com/	news.hjnews.com	USA	center	high
Naked Capitalism	http://www.nakedcapitalism.com/	www.nakedcapitalism.com	None	leftcenter	high
Truthdig	https://www.truthdig.com/	www.truthdig.com	USA	left	high
Law Enforcement Today	https://www.lawenforcementtoday.com/	www.lawenforcementtoday.com	USA	right	mixed
The New Atlantis	http://www.thenewatlantis.com/	www.thenewatlantis.com	None	rightcenter	high
Voice of Europe	https://voiceofeurope.com/	voiceofeurope.com	Unknown	extremeright	low
Inverse	https://www.inverse.com	www.inverse.com	USA	leftcenter	high
Reporters Lab	http://reporterslab.org/	reporterslab.org	None	center	very high
Christian Post	https://www.christianpost.com/	www.christianpost.com	USA	right	mixed
PINAC	https://photographyisnotacrime.com/	photographyisnotacrime.com	None	left	high
Ontario Proud	https://www.ontarioproud.ca	www.ontarioproud.ca	Canada	right	high
First in Freedom Daily	http://firstinfreedomdaily.com/	firstinfreedomdaily.com	None	right	mixed
Austin Daily Herald (Minnesota)	https://www.austindailyherald.com/	www.austindailyherald.com	USA	leftcenter	high
The Washington Reporter	https://thewashingtonreporter.com/	thewashingtonreporter.com	USA	extremeright	questionable source
Honest Reporting	https://honestreporting.com/	honestreporting.com	None	rightcenter	high
Noozhawk	https://www.noozhawk.com/	www.noozhawk.com	None	center	high
Morning Consult	https://morningconsult.com/	morningconsult.com	USA	center	very high
Angry White Men	https://angrywhitemen.org	angrywhitemen.org	USA	left	high
CityLab	https://www.citylab.com/	citylab.com	USA	leftcenter	high
The Angry Patriot	http://www.angrypatriotmovement.com/	www.angrypatriotmovement.com	None	extremeright	questionable source
United Federation of Teachers (UFT)	http://www.uft.org/	www.uft.org	None	leftcenter	high
We Conservative	http://weconservative.com/	weconservative.com	None	extremeright	questionable source
International Crisis Group	https://www.crisisgroup.org/	www.crisisgroup.org	None	leftcenter	high
People Magazine	https://people.com	people.com	USA	left	high
Journal Gazette	http://www.journalgazette.net/	www.journalgazette.net	USA	center	high
FairVote	http://www.fairvote.org/	www.fairvote.org	USA	leftcenter	high
KUTV Salt Lake City	http://kutv.com/	kutv.com	USA	rightcenter	high
The Free Patriot	http://thefreepatriot.org/	thefreepatriot.org	None	extremeright	questionable source
Christian Action Network	http://christianaction.org/	christianaction.org	None	extremeright	low
The Root	https://www.theroot.com/	www.theroot.com	USA	left	high
The EC Journal	https://www.theecjournal.com/	www.theecjournal.com	None	rightcenter	mixed
Against Crony Capitialism	https://www.ac2news.com	www.ac2news.com	USA	rightcenter	high
The Militant	http://www.themilitant.com/	www.themilitant.com	None	left	high
The Tennessean	http://www.tennessean.com/	www.tennessean.com	None	rightcenter	high
NewsAmmo	http://newsammo.com/	newsammo.com	USA	extremeright	questionable source
Heavy	https://heavy.com	heavy.com	USA	leftcenter	high
Populist Wire	https://www.populistwire.com	www.populistwire.com	None	right	mixed
US Advisor	http://ushealthyadvisor.com/	ushealthyadvisor.com	None	extremeright	questionable source
Tea Party News (The Point)	http://www.westernjournalism.com/thepoint/	www.westernjournalism.com	None	right	mixed
The Whim	http://www.thewhim.com/	www.thewhim.com	None	center	high
AmericaBlog	http://americablog.com/	americablog.com	USA	left	high
ICitizen	https://icitizen.com	icitizen.com	USA	center	high
Centre for Research of Radicalism and National Security (CRRNS)	http://researchantisemitism.ca	researchantisemitism.ca	Unknown	extremeright	low
Free Rein News	http://frnewsreport.com	frnewsreport.com	Unknown	left	high
San Francisco Examiner	http://www.sfexaminer.com	www.sfexaminer.com	USA	leftcenter	high
The Pantagraph	http://www.pantagraph.com/	www.pantagraph.com	None	center	high
The Manila Times	https://www.manilatimes.net	www.manilatimes.net	Philippines	rightcenter	mixed
Ottawa Citizen	https://ottawacitizen.com	ottawacitizen.com	Canada	rightcenter	high
California Globe	https://californiaglobe.com/	californiaglobe.com	USA	rightcenter	high
Svijmedia.com	http://www.svijmedia.com	www.svijmedia.com	Unknown	extremeright	questionable source
Orange County Register	https://www.ocregister.com/	www.ocregister.com	USA	center	high
CounterPunch	https://www.counterpunch.org	www.counterpunch.org	USA	left	mostly factual
London Free Press	https://lfpress.com	lfpress.com	Canada	rightcenter	mostly factual
Trumpservative News	http://www.trumpservativenews.info	www.trumpservativenews.info	None	extremeright	None
Curiosity.com	https://curiosity.com	curiosity.com	USA	center	high
Mad American Network	https://madamericannetwork.com	madamericannetwork.com	None	extremeright	questionable source
The Bipartisan Press	https://www.thebipartisanpress.com	www.thebipartisanpress.com	USA	leftcenter	high
Windsor Star	https://windsorstar.com/	windsorstar.com	Canada	rightcenter	high
Young Conservatives	https://www.chicksonright.com/youngconservatives/	www.chicksonright.com	USA	right	mixed
NTK Network	https://ntknetwork.com	ntknetwork.com	USA	right	mixed
Investors Business Daily	https://www.investors.com/	www.investors.com	USA	right	mixed
The Outline	https://theoutline.com/	theoutline.com	None	left	high
Waterbury Republican-American	http://www.rep-am.com/	www.rep-am.com	None	rightcenter	high
Chronicles of Democracy	https://www.chroniclesofdemocracy.com/	www.chroniclesofdemocracy.com	None	left	high
Puppet String News	http://www.puppetstringnews.com/	www.puppetstringnews.com	USA	extremeright	questionable source
Patriot Crier	http://patriotcrier.com	patriotcrier.com	Unknown	extremeright	questionable source
Politizoom	https://politizoom.com	politizoom.com	USA	left	mixed
Gallup	https://news.gallup.com	news.gallup.com	USA	center	very high
Conservative Daily News	http://www.conservativedailynews.com/	www.conservativedailynews.com	None	right	mixed
Grabien News	https://news.grabien.com/index.php	news.grabien.com	USA	right	mixed
The Town Talk	https://www.thetowntalk.com	www.thetowntalk.com	USA	center	high
Liberty News	http://libertynews.com/	libertynews.com	None	right	mixed
Twitchy	https://twitchy.com	twitchy.com	USA	right	mixed
San Marcos Daily Record	https://www.sanmarcosrecord.com	www.sanmarcosrecord.com	USA	center	high
The Bulwark	https://thebulwark.com/	thebulwark.com	USA	rightcenter	high
Patriot Journal	ttps://patriotjournal.org	patriotjournal.org	Unknown	extremeright	questionable source
Carolina Public Press	http://carolinapublicpress.org/	carolinapublicpress.org	None	leftcenter	high
Federalist Press	http://federalistpress.com/	federalistpress.com	None	right	mixed
Press Progress	https://www.pressprogress.ca/	www.pressprogress.ca	Canada	left	high
News With Views	http://www.newswithviews.com/	www.newswithviews.com	None	extremeright	questionable source
Republican National Committee (RNC)	https://www.gop.com/	www.gop.com	USA	right	mixed
Utica Observer-Dispatch	https://www.uticaod.com	www.uticaod.com	USA	leftcenter	high
Eagle Rising	http://eaglerising.com/	eaglerising.com	USA	extremeright	low
Carnegie Endowment for International Peace (CEIP)	https://carnegieendowment.org/	carnegieendowment.org	USA	leftcenter	high
USANewsToday	http://usanewstoday.org/	usanewstoday.org	None	extremeright	questionable source
Libcom.org	http://libcom.org	libcom.org	None	left	high
Washington Press	https://washingtonpress.com/	washingtonpress.com	USA	left	mixed
Lady Liberty News	http://ladylibertysnews.com/	ladylibertysnews.com	None	extremeright	questionable source
Taiwan News	https://www.taiwannews.com.tw/	www.taiwannews.com.tw	Taiwan	leftcenter	mostly factual
American Center for Law and Justice (ACLJ)	https://aclj.org/	aclj.org	USA	right	mixed
HealthyWay	https://www.healthyway.com	www.healthyway.com	None	leftcenter	high
PC Must Die News	https://pcmustdie.com/	pcmustdie.com	USA	extremeright	low
The Moderated Media	https://www.themoderatedmedia.com	www.themoderatedmedia.com	USA	center	mixed
Daily Press	https://www.dailypress.com/	www.dailypress.com	USA	rightcenter	high
Al Arabiya	https://english.alarabiya.net/	english.alarabiya.net	None	center	high
StepFeed	https://stepfeed.com	stepfeed.com	None	leftcenter	mixed
The Fake News Codex	http://www.fakenewscodex.com/	www.fakenewscodex.com	None	center	high
Campus Reform	https://www.campusreform.org	www.campusreform.org	USA	right	mixed
Timeline	https://timeline.com	timeline.com	None	leftcenter	high
Middle East Media Research Institute (MEMRI)	https://www.memri.org/	www.memri.org	USA	right	None
Politichicks	http://politichicks.com/	politichicks.com	None	right	mixed
Gothamist	https://gothamist.com/	gothamist.com	USA	leftcenter	high
Vancouver Sun	https://vancouversun.com/	vancouversun.com	Canada	rightcenter	high
Jewish Policy Center	https://www.jewishpolicycenter.org/	www.jewishpolicycenter.org	None	right	high
The Sydney Morning Herald	https://www.smh.com.au	www.smh.com.au	Australia	leftcenter	high
Reader Supported News (RSN)	http://readersupportednews.org	readersupportednews.org	None	left	mixed
Better Government Association	https://www.bettergov.org/	www.bettergov.org	USA	center	high
Times News (Pennsylvania)	https://www.tnonline.com	www.tnonline.com	USA	rightcenter	high
Reader's Digest	https://www.rd.com	www.rd.com	USA	right	mixed
Cape Cod Times	http://www.capecodtimes.com	www.capecodtimes.com	USA	center	high
Elite Daily	https://elitedaily.com/	elitedaily.com	None	left	mixed
Center for Popular Democracy	http://populardemocracy.org/	populardemocracy.org	None	leftcenter	high
I Hate the Media	https://www.ihatethemedia.com	www.ihatethemedia.com	None	extremeright	questionable source
